id;datum;fallzahl;neue_faelle;genesene;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
2661;2022-08-19;;;;;233,4;;;
2658;2022-08-18;1213927;1105;1165710;4739;261,7;'-9,2';16,3;5,1
2655;2022-08-17;1212822;1565;1162851;4735;285,8;'-8,5';16,8;5,1
2652;2022-08-16;1211257;1812;1159520;4731;301,7;'-9,2';17,1;4,9
2649;2022-08-15;1209445;;1156000;4745;302,6;'-11,5';16,1;5,6
2646;2022-08-14;;;;;302,8;'-14,1';16,7;
2643;2022-08-13;;;;;304,6;'-15,6';16,7;
2640;2022-08-12;1206570;1815;1150990;4739;308,8;'-16,5';16,7;6,8
2637;2022-08-11;1204755;2090;1147877;4737;309,6;'-17,4';14,8;6,2
2634;2022-08-10;1202665;2301;1144215;4729;311,2;'-17,8';14,7;6,6
2631;2022-08-09;1200364;2282;1140302;4729;313,0;'-18,0';17,9;6,1
2628;2022-08-08;1198082;;1136689;4727;328,7;'-17,5';18,5;6,2
2625;2022-08-07;;;;;329,2;'-16,9';17,9;
2622;2022-08-06;;;;;330,5;'-15,7';17,9;
2619;2022-08-05;1195556;1799;1131405;4727;336,1;'-14,0';17,9;6,0
2616;2022-08-04;1193757;2134;1128008;4722;351,8;'-12,3';18,0;5,6
2613;2022-08-03;1191623;2908;1124769;4720;362,8;'-11,7';16,3;5,4
2610;2022-08-02;1188715;2379;1120502;4717;386,4;'-11,6';16,7;5,9
2607;2022-08-01;1186336;;1116092;4715;406,6;'-12,0';16,7;6,4
2604;2022-07-31;;;;;406,6;'-13,1';17,1;
2601;2022-07-30;;;;;410,6;'-13,4';17,1;
2598;2022-07-29;1183163;1978;1110399;4710;425,8;'-12,9';17,1;6,6
2595;2022-07-28;1181185;2697;1107672;4708;431,9;'-12,7';18,1;7,6
2592;2022-07-27;1178488;3057;1103263;4704;445,9;'-11,6';18,6;7,2
2589;2022-07-26;1175431;3620;1099958;4699;449,3;'-10,8';14,7;7,5
2586;2022-07-25;1171811;;1096112;4691;449,1;'-10,2';14,5;6,6
2583;2022-07-24;;;;;451,7;'-9,4';14,0;
2580;2022-07-23;;;;;453,6;'-8,2';14,0;
2577;2022-07-22;1167945;2449;1091438;4688;464,1;'-6,6';14,0;5,7
2574;2022-07-21;1165496;2850;1088601;4686;490,1;'-4,4';13,8;6,3
2571;2022-07-20;1162646;3514;1085663;4681;510,0;'-4,1';14,0;6,5
2568;2022-07-19;1159132;3347;1082104;4680;517,9;'-3,2';13,1;5,9
